LANGUAGE,简体中文,ENGLISH,日本語,Deutsch,Français,Español,Русский язык,ภาษาไทย,한국어,اللغة العربية,Italiano,português
ADVANCE,进阶,ADVANCED,アドバンス,erweitert,avancé,avanzado,продвинутый,ขั้นสูง,고급,متقدم,avanzato,avançado
AGE,年龄,AGE,年齢,Alter,Âge,Edad,Возраст,อายุ,나이,عمر,Età,Idade
AGGRESSIVE,???,aggressive,aggressiv,???,???,???,???,???,???,???,???,???
ALL,无限制,ALL,すべて,Alle,Tout,Todo,Все,ทั้งหมด,모두,الكل,Tutti,Todos
BRONZE,铜,BRONZE,ブロンズ,Bronze,Bronze,Bronce,Бронза,ทองสัมฤทธิ์,청동,برونز,Bronzo,Bronze
BUTTONCONFIRM,确认,CONFIRM,確認,Bestätigen,Confirmer,Confirmar,Подтвердить,ยืนยัน,확인,تأكيد,Conferma,Confirmar
BUTTONDIALOGUESPEED,对话文字速度,DIALOGUE SPEED,対話テキストの速度,Dialoggeschwindigkeit,Vitesse du dialogue,Velocidad del diálogo,Скорость диалога,ความเร็วของข้อความในบทสนทนา,대화 속도,سرعة النص في الحوار,Velocità del dialogo,Velocidade do diálogo
BUTTONEXITCONFIRM,是否退出游戏,RETURN TO DESKTOP,ゲームを終了しますか,Spiel Beenden,Quitter le jeu,¿Desea salir del juego?,Выйти из игры,คุณต้องการออกจากเกมหรือไม่,게임을 종료하시겠습니까?,هل تريد الخروج من اللعبة؟,Sicuro di voler uscire dal gioco?,Deseja sair do jogo?
BUTTONFULLSCREEN,全屏模式,FULLSCREEN MODE,フルスクリーンモード,Vollbildmodus,Mode plein écran,Modo de pantalla completa,Полноэкранный режим,โหมดเต็มจอ,전체 화면 모드,وضع ملء الشاشة,Modalità schermo intero,Modo de tela cheia
BUTTONLANGUAGE,语言,LANGUAGE,言語,Sprache,Langue,Idioma,Язык,ภาษา,언어,اللغة,Lingua,Idioma
BUTTONMESSAGESPEED,信息文字速度,MESSAGE SPEED,メッセージテキストの速度,Nachrichtengeschwindigkeit,Vitesse des messages,Velocidad de mensajes,Скорость сообщений,ความเร็วของข้อความ,메시지 속도,سرعة الرسائل,Velocità dei messaggi,Velocidade das mensagens
BUTTONMUSIC,背景音乐音量,MUSIC VOLUME,背景音楽の音量,Hintergrundmusik Lautstärke,Volume de la musique, Volumen de música,Громкость музыки,ระดับเสียงดนตรี,음악 볼륨,مستوى الصوت الموسيقى,Volume della musica,Volume da música
BUTTONQUIT,退出,QUIT,終了,Beenden,Quitter,Salir,Выйти,ออก,끝내기,خروج,Uscita,Sair
BUTTONQUITCONFIRM,退出时未保存的进度将会丢失,UNSAVED PROGRESS WILL BE LOST,終了時に保存されていない進行状況が失われます,Nicht gespeicherter Fortschritt geht verloren,La progression non sauvegardée sera perdue,El progreso no guardado se perderá,Несохраненный прогресс будет утерян,ความคืบหน้าที่ไม่ได้บันทึกจะหายไป,저장되지 않은 진행 상황이 손실됩니다,سيتم فقدان التقدم الذي لم يتم حفظه,Il progresso non salvato verrà perso,O progresso não salvo será perdido
BUTTONREFRESHRATE,刷新率,REFRESH RATE,リフレッシュレート,Bildaktualisierungsrate,Taux de rafraîchissement,Frecuencia de actualización,Частота обновления,อัตราการรีเฟรช,화면 갱신율,معدل التحديث,Frequenza di aggiornamento,Taxa de atualização
BUTTONRESOLUTION,游戏分辨率,GAME RESOLUTION,ゲームの解像度,Spielauflösung,Résolution de jeu,Resolución del juego,Разрешение игры,ความละเอียดของเกม,게임 해상도,دقة اللعبة,Risoluzione del gioco,Resolução do jogo
BUTTONSCREENSIZE,窗口大小,SCREEN SIZE,画面サイズ,Bildschirmgröße,Taille de l'écran,Tamaño de pantalla,Размер экрана,ขนาดหน้าจอ,화면 크기,حجم الشاشة,Dimensioni dello schermo,Tamanho da tela
BUTTONSFX,SFX 音效,SFX,音効,SFX,Tonalités sonores,Efectos de sonido,Звуковые эффекты,เอฟเฟ็กต์เสียง,SFX,تأثيرات الصوت,Effetti sonori,Efeitos sonoros
BUTTONSOUND,音效音量,SOUND VOLUME,サウンドの音量,Tonstärke,Louder du son,Volumen de sonido,Громкость звука,ระดับเสียงเสียง,소리 볼륨,مستوى الصوت الصوتي,Volume del suono,Volume de som
BUTTONSPEECH,语音音量,DIALOGUE VOLUME,音声の音量,Sprachlautstärke,Volume de la voix,Volumen de diálogo,Громкость речи,ระดับเสียงของเสียงพูด,대화 볼륨,مستوى الصوت للحوار,Volume del dialogo,Volume de diálogo
cc_hair,变装:发色,OUTFIT:HAIR COLOR,変装:髪の色,AUSSEHEN:HAARFARBE,TENUE:COULEUR DES CHEVEUX,ATUENDO:COLOR DE PELO,КОСТЮМ:ЦВЕТ ВОЛОС,เครื่องแต่งกาย:สีผม,의상:머리 색상,زي:لون الشعر,ABBIGLIAMENTO:COLORE DEI CAPELLI,VESTUÁRIO:COR DO CABELO
CHANGED,变成了,HAS CHANGED TO,変更されました,hat sich geändert zu,a changé en,ha cambiado a,изменился на,เปลี่ยนเป็น,다음으로 변경되었습니다,تغير إلى,è cambiato in,alterou para
