LANGUAGES,简体中文,ENGLISH,日本語,Deutsch,Français,Español,Русский язык,ภาษาไทย,한국어,اللغة العربية,Italiano,Português
ABM,自动战斗,Auto Battle,オートバトル,Auto-Kampf,bataille automatique,batalla automática,Автобой,การต่อสู้อัตโนมัติ,자동 전투,القتال التلقائي,Battaglia automatica,Batalha Automática
ACT,横版动作,Platform,アクションプラットフォーム,Action-Plattform,plateforme d'action,plataforma de acción,Платформер,แพลตฟอร์มแอ็คชั่น,플랫폼 게임,لعبة منصات,Platform,Plataforma
addimage,添加图片,Choose Image File,画像を追加,Bild hinzufügen,Ajouter une image,Agregar imagen,Добавить изображение,เพิ่มรูปภาพ,이미지 파일 선택,إضافة صورة,Aggiungi immagine,Escolher arquivo de imagem
ARCADE,街机,Arcade,アーケード,Arcade,Arcade,Arcade,Аркада,อาร์เคด,아케이드,الممر الالكتروني,Salone giochi,Fliperama
ARPG,动作角色扮演,Action RPG,アクションRPG,Action-Rollenspiel,RPG d'action,RPG de acción,Action RPG,ARPG,액션 RPG,لعبة تقمص الأدوار الحركية,RPG d'azione,Action RPG
author,作者,Developer,著者,Entwickler,développeur,autor,Автор,ผู้เขียน,저자,الكاتب,autore,desenvolvedor
bar_all,全部,ALL,すべて,ALLE,TOUS,TODOS,Все,ทั้งหมด,모두,الكل,TUTTO,TODOS
bar_animation_category,动画类别,Category,アニメーションカテゴリ,Animationskategorie,Catégorie d'animation,Categoría de animación,Категория анимации,หมวดหมู่แอนิเมชัน,애니메이션 카테고리,فئة الرسوم المتحركة,Categoria di animazione,Categoria de animação
bar_animation_fullbody,全身,Full Body,全身,Ganzkörper,Corps entier,Cuerpo completo,Полное тело,ทั้งตัว,전신,جسم كامل,Corpo intero,Corpo inteiro
bar_animation_low,下段,Low,ロー,Niedrig,Bas,Bajo,Низкий,ต่ำ,낮은,منخفض,Basso,Baixo
bar_animation_middle,中段,Middle,ミドル,Mittel,Milieu,Medio,Средний,กลาง,가운데,متوسط,Medio,Médio
bar_animation_section,动作段位,Section,アクションセクション,Abschnitt,Section,Sección,Секция,ส่วน,섹션,قسم,Sezione,Seção
bar_animation_upper,上段,Upper,アッパー,Oberer Bereich,Partie supérieure,Parte superior,Верхний,ส่วนบน,위쪽,العلوي,Superiore,Superior
bar_arrow_down,箭头朝向:下,Arrow:DOWN,矢印:下,Pfeil:NACH UNTEN,Flèche:VERS LE BAS,Flecha:HACIA ABAJO,Стрелка:ВНИЗ,ลูกศร:ลง,화살표:아래로,السهم:أسفل,Freccia:GIÙ,Seta:BAIXO
bar_arrow_left,箭头朝向:左,Arrow:LEFT,矢印:左,Pfeil:NACH LINKS,Flèche:VERS LA GAUCHE,Flecha:HACIA LA IZQUIERDA,Стрелка:ВЛЕВО,ลูกศร:ซ้าย,화살표:왼쪽,السهم:اليسار,Freccia:SINISTRA,Seta:ESQUERDA
bar_arrow_right,箭头朝向:右,Arrow:RIGHT,矢印:右,Pfeil:NACH RECHTS,Flèche:VERS LA DROITE,Flecha:HACIA LA DERECHA,Стрелка:ВПРАВО,ลูกศร:ขวา,화살표:오른쪽,السهم:اليمين,Freccia:DESTRA,Seta:DIREITA
bar_arrow_up,箭头朝向:上,Arrow:UP,矢印:上,Pfeil:NACH OBEN,Flèche:VERS LE HAUT,Flecha:HACIA ARRIBA,Стрелка:ВВЕРХ,ลูกศร:ขึ้น,화살표:위로,السهم:أعلى,Freccia:SOPRA,Seta:CIMA
bar_avaliable,使用,Avaliable,利用可能,Verfügbar,Disponible,Disponible,Доступно,ใช้ได้,사용 가능,متاح,Disponibile,Disponível
bar_cancel_level,取消级别,Cancel Level,取消级别,Stornieren Stufe,Annuler Niveau,Cancelar Nivel,Отменить уровень,ยกเลิกระดับ,레벨 취소,إلغاء المستوى,Annulla Livello,Cancelar Nível
bar_character_merge,合并,Merge,合并,Zusammenführen,Fusionner,Combinar,Объединить,ผสาน,병합,دمج,Fondere,Unir
bar_character_split,拆分,Split,拆分,Trennen,Séparer,Dividir,Разделить,แยก,분할,تقسيم,Suddividere,Dividir
bar_cross,十字,CROSS,十字,Kreuz,Croix,Cruz,Крест,ข้าม,십자,الصليب,Croce,Cruz
bar_customattribute,自定义属性,Attribute,カスタム属性,Individuelles Attribut,Attribut personnalisé,Atributo personalizado,Пользовательский атрибут,แอตทริบิวต์ที่กำหนดเอง,사용자 정의 속성,سمة مخصصة,Attributo personalizzato,Atributo personalizado
bar_customequip,自定义装备栏,Equipment Slot,カスタム装備スロット,Anpassung Ausrüstungsfach,Emplacement d'équipement personnalisé,Espacio de equipo personalizado,Настройка слота снаряжения,ช่องอุปกรณ์ที่กำหนดเอง,사용자 정의 장비 슬롯,فتحة المعدات المخصصة,Slot attrezzatura personalizzata,Slot de equipamento personalizado
bar_customized,创作,Created,创作,Erstellt,Créé,Creado,Создан,สร้าง,생성,تم إنشاؤه,Creato,Criado
bar_customvariable,自定义变量,Variable,カスタム変数,Individuelle Variable,Variable personnalisée,Variable personalizada,Пользовательская переменная,ตัวแปรที่กำหนดเอง,사용자 정의 변수,متغير مخصص,Variabile personalizzata,Variável personalizada
bar_dlc_class,DLC分类,DLC Class,ダウンロードコンテンツの分類,DLC-Klasse,Classe de DLC,Clase de DLC,Класс DLC,ประเภท DLC,DLC 클래스,فئة التنزيل الإضافي,Classe DLC,Classe de DLC
bar_enemy_facing_left,面向左,Facing Left,左を向いている,Linksherum schauend,Regarde à gauche,Mirando a la izquierda,Смотрит влево,เห็นทางซ้าย,왼쪽을 향한,يواجه اليسار,Guardando a sinistra,Olhando para a esquerda
bar_enemy_facing_random,随机朝向,Random Direction,ランダムな方向へ,Zufällige Richtung,Direction aléatoire,Dirección aleatoria,Случайное направление,ทิศทางสุ่ม,랜덤 방향,اتجاه عشوائي,Direzione casuale,Direção aleatória
